OTU_id	10	11	113	13	132	14	15	16	179	18	19	2	20	21	22	23	24	25	26	264	28	29	349	4	50	56	6	65	67	7	76	78	8	87	9	92	99
10	1.000	-0.040	-0.075	-0.024	0.054	0.347	0.027	0.042	-0.090	0.191	-0.055	0.119	0.087	0.090	0.056	0.149	-0.089	-0.073	0.186	-0.100	0.066	-0.069	0.005	0.115	0.152	-0.030	0.331	-0.150	-0.015	-0.086	0.030	-0.048	-0.094	-0.160	-0.063	-0.032	-0.108
11	-0.040	1.000	-0.011	0.403	0.003	-0.019	-0.107	-0.045	-0.005	0.053	0.210	0.146	-0.083	0.123	-0.036	-0.044	-0.108	0.176	-0.061	-0.007	-0.130	-0.090	-0.082	0.022	-0.056	-0.078	-0.050	0.029	0.002	0.218	0.005	-0.070	0.082	-0.038	0.022	-0.094	-0.065
113	-0.075	-0.011	1.000	0.109	-0.028	-0.117	-0.136	0.183	-0.050	-0.050	0.244	0.138	-0.109	-0.007	-0.106	-0.071	-0.029	0.135	-0.171	-0.078	-0.003	-0.086	-0.013	-0.002	-0.069	-0.026	-0.076	0.099	0.048	0.122	-0.002	-0.107	0.032	0.119	0.124	-0.100	0.016
13	-0.024	0.403	0.109	1.000	0.072	0.034	-0.138	-0.045	0.087	-0.091	0.118	-0.081	-0.131	0.019	-0.058	-0.163	0.006	0.470	0.003	0.134	0.011	0.037	-0.003	0.479	-0.028	-0.083	-0.247	0.020	0.281	0.474	0.046	-0.107	0.092	-0.034	0.232	-0.056	0.045
132	0.054	0.003	-0.028	0.072	1.000	0.006	-0.020	-0.041	0.095	0.013	0.126	0.196	-0.040	0.006	0.116	-0.104	-0.017	-0.021	0.056	0.044	-0.160	-0.081	0.110	-0.107	-0.080	-0.085	-0.005	-0.075	-0.027	0.061	0.049	-0.010	0.156	-0.087	-0.136	0.058	-0.078
14	0.347	-0.019	-0.117	0.034	0.006	1.000	0.049	-0.005	-0.111	0.175	-0.226	-0.084	0.039	0.076	0.033	0.227	-0.056	-0.046	0.096	-0.067	0.037	-0.040	-0.099	0.123	0.151	0.008	0.221	-0.107	0.010	-0.015	0.034	-0.102	-0.061	-0.113	0.019	-0.094	-0.084
15	0.027	-0.107	-0.136	-0.138	-0.020	0.049	1.000	-0.100	-0.056	0.092	-0.073	-0.003	0.171	0.090	0.109	0.293	0.102	-0.120	-0.018	-0.053	0.043	0.073	-0.013	-0.007	0.098	0.079	0.079	-0.100	-0.089	-0.159	-0.007	0.141	-0.028	-0.024	-0.032	0.082	-0.014
16	0.042	-0.045	0.183	-0.045	-0.041	-0.005	-0.100	1.000	-0.092	0.142	-0.063	0.139	-0.051	0.144	-0.002	0.103	-0.021	-0.043	-0.058	-0.075	-0.013	-0.092	0.050	-0.049	-0.103	0.021	0.063	0.008	0.012	0.071	-0.027	-0.111	-0.021	0.048	-0.030	-0.005	0.037
179	-0.090	-0.005	-0.050	0.087	0.095	-0.111	-0.056	-0.092	1.000	-0.100	0.122	0.103	-0.126	-0.114	-0.019	-0.145	-0.040	0.143	-0.007	0.229	-0.121	0.022	0.069	0.002	-0.117	-0.081	-0.026	0.042	0.065	0.027	-0.034	0.027	0.091	-0.049	-0.034	0.064	0.022
18	0.191	0.053	-0.050	-0.091	0.013	0.175	0.092	0.142	-0.100	1.000	-0.069	0.134	0.117	0.234	0.124	0.263	0.035	-0.228	0.032	-0.123	-0.053	-0.113	-0.038	-0.144	0.038	-0.016	0.206	-0.107	-0.138	-0.154	0.033	-0.025	0.042	-0.083	-0.151	-0.028	-0.052
