OTU_id	100	101	103	114	116	118	130	142	148	163	166	17	173	176	184	191	198	2	205	208	217	218	22	242	26	269	293	3	343	400	423	43	47	48	6	63	66	88	9
100	1.000	-0.023	-0.054	0.846	0.040	0.476	-0.060	-0.044	-0.082	0.344	-0.042	-0.063	0.250	-0.021	-0.049	-0.032	0.004	-0.042	-0.035	-0.019	0.570	0.020	-0.055	0.079	0.060	0.317	0.236	-0.546	-0.060	-0.038	0.075	-0.025	0.123	0.387	-0.021	0.362	0.379	-0.025	0.030
101	-0.023	1.000	0.251	-0.014	0.154	-0.034	-0.038	0.248	-0.053	-0.026	-0.006	-0.005	-0.021	-0.001	-0.025	-0.004	0.848	-0.015	0.112	0.008	-0.032	0.094	-0.034	-0.014	0.006	-0.015	-0.027	-0.056	-0.036	-0.015	-0.018	0.980	-0.033	-0.022	-0.010	-0.030	0.306	0.004	0.023
103	-0.054	0.251	1.000	0.008	0.067	-0.071	0.045	0.263	0.566	-0.053	0.181	0.381	-0.045	0.094	0.021	0.007	0.484	0.109	0.025	0.139	-0.067	0.056	0.037	-0.017	0.149	-0.033	-0.021	-0.080	0.282	0.092	-0.035	0.277	-0.019	-0.039	0.071	-0.056	0.184	0.091	0.172
114	0.846	-0.014	0.008	1.000	0.016	0.515	-0.034	-0.032	-0.063	0.125	-0.038	-0.046	0.097	0.269	-0.044	-0.040	0.017	-0.009	0.132	-0.018	0.526	0.013	-0.018	0.021	0.058	0.114	0.078	-0.579	-0.001	-0.041	0.039	-0.015	0.242	0.153	-0.004	0.497	0.176	-0.029	0.019
116	0.040	0.154	0.067	0.016	1.000	0.426	-0.046	0.037	-0.047	0.533	-0.012	0.008	0.027	0.028	-0.045	-0.022	0.169	-0.034	-0.020	0.344	0.046	0.964	-0.040	0.945	0.210	0.048	0.097	-0.420	-0.042	-0.030	-0.001	0.196	-0.004	0.446	-0.019	0.717	0.481	-0.003	0.144
118	0.476	-0.034	-0.071	0.515	0.426	1.000	-0.091	-0.056	-0.113	0.679	-0.056	-0.042	0.477	-0.008	-0.073	-0.049	0.006	-0.064	0.023	0.069	0.844	0.415	-0.082	0.513	0.037	0.264	0.361	-0.753	-0.096	-0.055	0.553	-0.023	0.243	0.557	-0.031	0.831	0.567	-0.033	0.004
130	-0.060	-0.038	0.045	-0.034	-0.046	-0.091	1.000	-0.014	-0.070	-0.072	0.043	-0.102	-0.052	0.078	-0.055	-0.062	-0.035	0.028	-0.006	-0.046	-0.086	-0.037	0.814	-0.031	-0.039	-0.040	0.084	-0.020	0.372	0.120	-0.047	-0.043	-0.003	-0.072	0.160	-0.037	-0.089	-0.048	-0.043
142	-0.044	0.248	0.263	-0.032	0.037	-0.056	-0.014	1.000	0.451	-0.040	-0.025	0.055	-0.041	-0.002	0.294	-0.039	0.380	0.044	-0.016	0.037	-0.057	0.080	-0.001	0.019	0.130	-0.029	-0.025	-0.080	0.067	0.175	-0.027	0.285	0.067	-0.031	-0.012	-0.037	0.118	-0.025	0.042
148	-0.082	-0.053	0.566	-0.063	-0.047	-0.113	-0.070	0.451	1.000	-0.093	0.051	0.368	-0.064	0.019	-0.064	0.082	0.058	-0.020	-0.032	-0.026	-0.101	-0.038	-0.012	-0.065	-0.028	-0.053	-0.043	0.026	0.192	-0.005	-0.043	-0.038	0.009	-0.075	-0.024	-0.098	-0.065	-0.016	-0.002
163	0.344	-0.026	-0.053	0.125	0.533	0.679	-0.072	-0.040	-0.093	1.000	-0.035	-0.040	0.391	-0.016	-0.058	-0.039	0.020	-0.051	-0.038	0.074	0.611	0.508	-0.068	0.672	0.012	0.461	0.581	-0.633	-0.076	-0.045	0.184	-0.014	0.266	0.822	-0.025	0.515	0.751	-0.024	-0.009
166	-0.042	-0.006	0.181	-0.038	-0.012	-0.056	0.043	-0.025	0.051	-0.035	1.000	0.022	-0.040	0.021	0.296	0.855	0.028	0.004	-0.017	-0.032	-0.058	0.001	0.017	-0.004	-0.020	-0.030	-0.034	-0.153	0.024	0.396	-0.037	-0.018	-0.054	-0.035	-0.027	-0.047	-0.037	0.916	-0.025
17	-0.063	-0.005	0.381	-0.046	0.008	-0.042	-0.102	0.055	0.368	-0.040	0.022	1.000	-0.020	0.031	0.008	-0.026	0.110	-0.007	-0.008	0.060	-0.043	0.016	-0.086	-0.013	0.041	-0.034	-0.040	0.005	0.122	-0.044	0.011	-0.002	-0.003	-0.022	-0.012	-0.030	0.000	0.012	0.066
173	0.250	-0.021	-0.045	0.097	0.027	0.477	-0.052	-0.041	-0.064	0.391	-0.040	-0.020	1.000	-0.027	-0.044	-0.029	0.097	-0.035	-0.015	-0.022	0.753	0.005	-0.048	0.027	-0.022	0.844	0.015	-0.413	-0.059	-0.033	0.761	-0.025	-0.009	0.735	-0.017	0.192	0.350	-0.023	0.012
176	-0.021	-0.001	0.094	0.269	0.028	-0.008	0.078	-0.002	0.019	-0.016	0.021	0.031	-0.027	1.000	-0.019	0.013	0.040	0.032	0.417	0.133	-0.025	0.013	0.095	0.002	0.131	-0.020	-0.025	-0.314	0.155	0.044	-0.022	0.002	0.450	-0.017	-0.020	0.004	0.125	0.033	0.125
184	-0.049	-0.025	0.021	-0.044	-0.045	-0.073	-0.055	0.294	-0.064	-0.058	0.296	0.008	-0.044	-0.019	1.000	0.257	0.063	-0.035	-0.085	-0.026	-0.064	-0.036	-0.064	-0.043	0.070	-0.033	-0.051	0.005	-0.073	0.100	-0.037	-0.026	-0.071	-0.052	-0.034	-0.067	-0.040	0.342	-0.031
191	-0.032	-0.004	0.007	-0.040	-0.022	-0.049	-0.062	-0.039	0.082	-0.039	0.855	-0.026	-0.029	0.013	0.257	1.000	-0.043	-0.028	0.045	-0.027	-0.046	-0.015	-0.056	-0.019	-0.010	-0.023	-0.035	-0.122	-0.073	0.296	-0.027	-0.021	-0.039	-0.034	-0.019	-0.043	-0.053	0.765	-0.018
198	0.004	0.848	0.484	0.017	0.169	0.006	-0.035	0.380	0.058	0.020	0.028	0.110	0.097	0.040	0.063	-0.043	1.000	0.040	0.077	0.167	0.041	0.149	-0.049	0.029	0.179	0.098	-0.035	-0.132	0.025	0.180	0.050	0.871	-0.052	0.098	-0.028	-0.011	0.407	-0.009	0.178
2	-0.042	-0.015	0.109	-0.009	-0.034	-0.064	0.028	0.044	-0.020	-0.051	0.004	-0.007	-0.035	0.032	-0.035	-0.028	0.040	1.000	0.022	-0.012	-0.055	-0.019	0.078	-0.030	-0.006	-0.025	-0.034	0.002	0.074	0.042	-0.029	-0.004	-0.019	-0.045	0.462	-0.057	-0.042	-0.009	-0.005
205	-0.035	0.112	0.025	0.132	-0.020	0.023	-0.006	-0.016	-0.032	-0.038	-0.017	-0.008	-0.015	0.417	-0.085	0.045	0.077	0.022	1.000	0.005	0.012	-0.031	0.019	-0.041	0.006	-0.035	-0.037	-0.412	0.078	-0.056	0.010	0.103	0.751	-0.047	0.086	0.018	0.029	-0.041	0.007
208	-0.019	0.008	0.139	-0.018	0.344	0.069	-0.046	0.037	-0.026	0.074	-0.032	0.060	-0.022	0.133	-0.026	-0.027	0.167	-0.012	0.005	1.000	-0.026	0.219	-0.041	0.186	0.970	-0.015	0.004	-0.132	-0.044	-0.018	-0.020	0.019	-0.034	0.066	-0.003	0.151	0.520	-0.019	0.965
217	0.570	-0.032	-0.067	0.526	0.046	0.844	-0.086	-0.057	-0.101	0.611	-0.058	-0.043	0.753	-0.025	-0.064	-0.046	0.041	-0.055	0.012	-0.026	1.000	0.025	-0.078	0.125	0.002	0.619	0.328	-0.685	-0.091	-0.052	0.593	-0.037	0.220	0.698	-0.029	0.503	0.518	-0.036	0.008
